,R2 threshold,Overpotential Fit Width / V,Tafel slope / mV Decade-1,Exchange Current / A,Optimal Residual,Starting Fit Potential / V,Tafel R2,LSV R2,Ending Fit Potential
438,0.91,0.047999999999999966,29.867938220443396,1.3445229319892017e-05,0.012210086864558595,0.0043148,0.9665661490474338,0.9110528725237245,0.05231479999999997
439,0.91,0.04899999999999997,31.3291021178478,1.4977276696781326e-05,0.013415466747367735,0.0051536,0.9723479945518345,0.9111817952174364,0.05415359999999997
440,0.911,0.01,13.379586345528399,4.394074368307124e-06,0.0033386169143680374,0.0028484,0.9688432182344582,0.9787760118647355,0.0128484
441,0.911,0.011,14.031818883476717,4.636762944573607e-06,0.003298267841772142,0.0028484,0.9609279096296571,0.9817069032379813,0.0138484
442,0.911,0.011999999999999999,14.379112320461317,4.767438155065803e-06,0.003451648393704613,0.0028484,0.9626301123274507,0.9766359141457521,0.014848399999999998
443,0.911,0.012999999999999998,15.022082581895585,5.012110393756075e-06,0.0034189981506227464,0.0028484,0.955492053297844,0.9797517170062728,0.0158484
444,0.911,0.013999999999999997,15.87406390865404,5.341693519598116e-06,0.0036228176760949335,0.0028484,0.9551778894357867,0.9782165256530232,0.016848399999999996
445,0.911,0.014999999999999996,16.356203748576533,5.529657900997321e-06,0.0036560041641895066,0.0028484,0.9527475617787137,0.9806548133259199,0.017848399999999997
446,0.911,0.015999999999999993,16.701955651370376,5.6662268721872935e-06,0.00377678885276301,0.0028484,0.9537739239910008,0.9772853748376463,0.018848399999999994
447,0.911,0.016999999999999994,17.09798512138215,5.825328144391394e-06,0.00386889284907065,0.0028484,0.953471132385366,0.9768541712556255,0.019848399999999995
448,0.911,0.017999999999999995,17.925167211302654,6.1646575638765935e-06,0.00404798851281294,0.0028484,0.9519826953447572,0.9759568875469974,0.020848399999999996
449,0.911,0.018999999999999993,18.306202333695403,6.323429216427377e-06,0.004144970784022706,0.0028484,0.9517066201456694,0.975056876911583,0.021848399999999994
450,0.911,0.01999999999999999,18.649477249703036,6.468187635887073e-06,0.004267340819757298,0.0028484,0.9520761254837007,0.9721116927171721,0.02284839999999999
451,0.911,0.02099999999999999,19.006466400432934,6.62084149827756e-06,0.00437627112274364,0.0028484,0.952010925679813,0.97074000784211,0.023848399999999992
452,0.911,0.021999999999999992,19.64457101042961,6.899856633026041e-06,0.0046428365299773225,0.0028484,0.9529691484105928,0.9647027778843534,0.024848399999999993
453,0.911,0.02299999999999999,19.931610216544467,7.027872122720588e-06,0.00479937454123027,0.0028484,0.9538608273147939,0.9602358014805049,0.02584839999999999
454,0.911,0.023999999999999987,20.207230256046852,7.1525394623814544e-06,0.004962240568742237,0.0028484,0.9547658479376947,0.9559168306082733,0.026848399999999988
455,0.911,0.024999999999999988,18.387918597096412,5.815171180306475e-06,0.004755297059695356,0.0019883,0.9121639517273534,0.9593801233906969,0.026988299999999986
456,0.911,0.02599999999999999,18.690287433352246,5.941335662917026e-06,0.004913271714519628,0.0019883,0.9140958384453689,0.9549644227787578,0.027988299999999987
457,0.911,0.02699999999999999,19.309773550661294,6.205356321979953e-06,0.005203283743310185,0.0019883,0.9168296354938297,0.9504967942602078,0.028988299999999988
458,0.911,0.027999999999999983,19.618375827582877,6.33982201464898e-06,0.005351315374764654,0.0019883,0.9180061267286443,0.948552675573357,0.02998829999999998
459,0.911,0.028999999999999984,19.906869089081376,6.467332739494671e-06,0.005525043185006137,0.0019883,0.9194918052941558,0.9446317107330254,0.030988299999999983
460,0.911,0.029999999999999985,20.176267038854707,6.588004311673316e-06,0.005714171010433237,0.0019883,0.9211807428768867,0.9398868311662588,0.03198829999999998
461,0.911,0.030999999999999986,20.725264433568537,6.838663955519549e-06,0.00605442976782703,0.0019883,0.9236652113344532,0.9357340052915558,0.032988299999999984
462,0.911,0.03199999999999998,21.01421979292787,6.973550800903466e-06,0.006217749556489457,0.0019883,0.9244340741263116,0.9347584305692485,0.03398829999999998
463,0.911,0.03299999999999998,21.309875128339847,7.113632350734235e-06,0.006376705904519262,0.0019883,0.9250047088845921,0.9343429548520116,0.03498829999999998
464,0.911,0.03399999999999998,21.84855736821711,7.3733985708665275e-06,0.006748053014371404,0.0019883,0.9268456575743865,0.9299049866919942,0.03598829999999998
465,0.911,0.03499999999999998,22.1275010223494,7.510052125408214e-06,0.0069052833025557035,0.0019883,0.9272967771213304,0.9300054966878464,0.03698829999999998
466,0.911,0.035999999999999976,22.393965233034237,7.642606282148606e-06,0.0070895191595421545,0.0019883,0.9279995428874632,0.9284143721834519,0.037988299999999975
467,0.911,0.03699999999999998,22.67278101537243,7.78324789956886e-06,0.007263561025272336,0.0019883,0.9284010471634565,0.9278401064956839,0.038988299999999976
468,0.911,0.03799999999999998,23.209350265089878,8.059630031952855e-06,0.007659730939620384,0.0019883,0.929502373733261,0.9242022389091308,0.03998829999999998
469,0.911,0.03899999999999998,23.482359503452386,8.203445230004495e-06,0.007873771000933505,0.0019883,0.9299774692137809,0.9219801712218698,0.04098829999999998
470,0.911,0.03999999999999997,23.75218192008751,8.347509735955417e-06,0.008099152725351453,0.0019883,0.9304840203380538,0.9194527591963985,0.04198829999999997
471,0.911,0.040999999999999974,24.012220580817054,8.487927674370535e-06,0.008334520134642713,0.0019883,0.9310882634995713,0.9166465990697454,0.04298829999999997
472,0.911,0.041999999999999975,24.312044084101398,8.651076864578756e-06,0.00848863201098388,0.0019883,0.930747828286128,0.9186468757351772,0.04398829999999997
473,0.911,0.042999999999999976,24.812405016287624,8.928082672341535e-06,0.008948638731366327,0.0019883,0.9318402320215241,0.9143050026346601,0.044988299999999974
474,0.911,0.04399999999999998,25.073543553334968,9.075166231383165e-06,0.009163141728424092,0.0019883,0.9321029464465801,0.9135884344871258,0.045988299999999975
475,0.911,0.04499999999999997,25.334367640249408,9.223086370668755e-06,0.009354966268635483,0.0019883,0.9322264667501415,0.9140020647239916,0.04698829999999997
476,0.911,0.04599999999999997,27.394960156358955,1.1073633066330265e-05,0.010382246477536099,0.0028484,0.9575634561704635,0.9121774300624871,0.04884839999999997
477,0.911,0.04699999999999997,27.63497792934717,1.1227931385766595e-05,0.010592441904942915,0.0028484,0.9573198479341224,0.9122895184422741,0.04984839999999997
478,0.911,0.047999999999999966,29.867938220443396,1.3445229319892017e-05,0.012210086864558595,0.0043148,0.9665661490474338,0.9110528725237245,0.05231479999999997
479,0.911,0.04899999999999997,31.3291021178478,1.4977276696781326e-05,0.013415466747367735,0.0051536,0.9723479945518345,0.9111817952174364,0.05415359999999997
480,0.912,0.01,13.379586345528399,4.394074368307124e-06,0.0033386169143680374,0.0028484,0.9688432182344582,0.9787760118647355,0.0128484
481,0.912,0.011,14.031818883476717,4.636762944573607e-06,0.003298267841772142,0.0028484,0.9609279096296571,0.9817069032379813,0.0138484
482,0.912,0.011999999999999999,14.379112320461317,4.767438155065803e-06,0.003451648393704613,0.0028484,0.9626301123274507,0.9766359141457521,0.014848399999999998
483,0.912,0.012999999999999998,15.022082581895585,5.012110393756075e-06,0.0034189981506227464,0.0028484,0.955492053297844,0.9797517170062728,0.0158484
484,0.912,0.013999999999999997,15.87406390865404,5.341693519598116e-06,0.0036228176760949335,0.0028484,0.9551778894357867,0.9782165256530232,0.016848399999999996
485,0.912,0.014999999999999996,16.356203748576533,5.529657900997321e-06,0.0036560041641895066,0.0028484,0.9527475617787137,0.9806548133259199,0.017848399999999997
486,0.912,0.015999999999999993,16.701955651370376,5.6662268721872935e-06,0.00377678885276301,0.0028484,0.9537739239910008,0.9772853748376463,0.018848399999999994
487,0.912,0.016999999999999994,17.09798512138215,5.825328144391394e-06,0.00386889284907065,0.0028484,0.953471132385366,0.9768541712556255,0.019848399999999995
488,0.912,0.017999999999999995,17.925167211302654,6.1646575638765935e-06,0.00404798851281294,0.0028484,0.9519826953447572,0.9759568875469974,0.020848399999999996
489,0.912,0.018999999999999993,18.306202333695403,6.323429216427377e-06,0.004144970784022706,0.0028484,0.9517066201456694,0.975056876911583,0.021848399999999994
490,0.912,0.01999999999999999,18.649477249703036,6.468187635887073e-06,0.004267340819757298,0.0028484,0.9520761254837007,0.9721116927171721,0.02284839999999999
491,0.912,0.02099999999999999,19.006466400432934,6.62084149827756e-06,0.00437627112274364,0.0028484,0.952010925679813,0.97074000784211,0.023848399999999992
492,0.912,0.021999999999999992,19.64457101042961,6.899856633026041e-06,0.0046428365299773225,0.0028484,0.9529691484105928,0.9647027778843534,0.024848399999999993
493,0.912,0.02299999999999999,19.931610216544467,7.027872122720588e-06,0.00479937454123027,0.0028484,0.9538608273147939,0.9602358014805049,0.02584839999999999
494,0.912,0.023999999999999987,20.207230256046852,7.1525394623814544e-06,0.004962240568742237,0.0028484,0.9547658479376947,0.9559168306082733,0.026848399999999988
495,0.912,0.024999999999999988,18.387918597096412,5.815171180306475e-06,0.004755297059695356,0.0019883,0.9121639517273534,0.9593801233906969,0.026988299999999986
496,0.912,0.02599999999999999,18.690287433352246,5.941335662917026e-06,0.004913271714519628,0.0019883,0.9140958384453689,0.9549644227787578,0.027988299999999987
497,0.912,0.02699999999999999,19.309773550661294,6.205356321979953e-06,0.005203283743310185,0.0019883,0.9168296354938297,0.9504967942602078,0.028988299999999988
498,0.912,0.027999999999999983,19.618375827582877,6.33982201464898e-06,0.005351315374764654,0.0019883,0.9180061267286443,0.948552675573357,0.02998829999999998
499,0.912,0.028999999999999984,19.906869089081376,6.467332739494671e-06,0.005525043185006137,0.0019883,0.9194918052941558,0.9446317107330254,0.030988299999999983
500,0.912,0.029999999999999985,20.176267038854707,6.588004311673316e-06,0.005714171010433237,0.0019883,0.9211807428768867,0.9398868311662588,0.03198829999999998
501,0.912,0.030999999999999986,20.725264433568537,6.838663955519549e-06,0.00605442976782703,0.0019883,0.9236652113344532,0.9357340052915558,0.032988299999999984
502,0.912,0.03199999999999998,21.01421979292787,6.973550800903466e-06,0.006217749556489457,0.0019883,0.9244340741263116,0.9347584305692485,0.03398829999999998
503,0.912,0.03299999999999998,21.309875128339847,7.113632350734235e-06,0.006376705904519262,0.0019883,0.9250047088845921,0.9343429548520116,0.03498829999999998
504,0.912,0.03399999999999998,21.84855736821711,7.3733985708665275e-06,0.006748053014371404,0.0019883,0.9268456575743865,0.9299049866919942,0.03598829999999998
505,0.912,0.03499999999999998,22.1275010223494,7.510052125408214e-06,0.0069052833025557035,0.0019883,0.9272967771213304,0.9300054966878464,0.03698829999999998
506,0.912,0.035999999999999976,22.393965233034237,7.642606282148606e-06,0.0070895191595421545,0.0019883,0.9279995428874632,0.9284143721834519,0.037988299999999975
507,0.912,0.03699999999999998,22.67278101537243,7.78324789956886e-06,0.007263561025272336,0.0019883,0.9284010471634565,0.9278401064956839,0.038988299999999976
508,0.912,0.03799999999999998,23.209350265089878,8.059630031952855e-06,0.007659730939620384,0.0019883,0.929502373733261,0.9242022389091308,0.03998829999999998
509,0.912,0.03899999999999998,23.482359503452386,8.203445230004495e-06,0.007873771000933505,0.0019883,0.9299774692137809,0.9219801712218698,0.04098829999999998
510,0.912,0.03999999999999997,23.75218192008751,8.347509735955417e-06,0.008099152725351453,0.0019883,0.9304840203380538,0.9194527591963985,0.04198829999999997
511,0.912,0.040999999999999974,24.012220580817054,8.487927674370535e-06,0.008334520134642713,0.0019883,0.9310882634995713,0.9166465990697454,0.04298829999999997
512,0.912,0.041999999999999975,24.312044084101398,8.651076864578756e-06,0.00848863201098388,0.0019883,0.930747828286128,0.9186468757351772,0.04398829999999997
513,0.912,0.042999999999999976,24.812405016287624,8.928082672341535e-06,0.008948638731366327,0.0019883,0.9318402320215241,0.9143050026346601,0.044988299999999974
514,0.912,0.04399999999999998,25.073543553334968,9.075166231383165e-06,0.009163141728424092,0.0019883,0.9321029464465801,0.9135884344871258,0.045988299999999975
515,0.912,0.04499999999999997,25.334367640249408,9.223086370668755e-06,0.009354966268635483,0.0019883,0.9322264667501415,0.9140020647239916,0.04698829999999997
516,0.912,0.04599999999999997,27.394960156358955,1.1073633066330265e-05,0.010382246477536099,0.0028484,0.9575634561704635,0.9121774300624871,0.04884839999999997
517,0.912,0.04699999999999997,27.63497792934717,1.1227931385766595e-05,0.010592441904942915,0.0028484,0.9573198479341224,0.9122895184422741,0.04984839999999997
518,0.912,0.047999999999999966,32.04785320963678,1.5888944179449846e-05,0.01386584449020395,0.0060919,0.9750184909017391,0.9143707242743352,0.054091899999999964
519,0.912,0.04899999999999997,32.47347809187128,1.6255002088896228e-05,0.014394812824250494,0.0060919,0.9744646104460997,0.9133327399883295,0.055091899999999965
520,0.913,0.01,13.379586345528399,4.394074368307124e-06,0.0033386169143680374,0.0028484,0.9688432182344582,0.9787760118647355,0.0128484
521,0.913,0.011,14.031818883476717,4.636762944573607e-06,0.003298267841772142,0.0028484,0.9609279096296571,0.9817069032379813,0.0138484
522,0.913,0.011999999999999999,14.379112320461317,4.767438155065803e-06,0.003451648393704613,0.0028484,0.9626301123274507,0.9766359141457521,0.014848399999999998
523,0.913,0.012999999999999998,15.022082581895585,5.012110393756075e-06,0.0034189981506227464,0.0028484,0.955492053297844,0.9797517170062728,0.0158484
524,0.913,0.013999999999999997,15.87406390865404,5.341693519598116e-06,0.0036228176760949335,0.0028484,0.9551778894357867,0.9782165256530232,0.016848399999999996
525,0.913,0.014999999999999996,16.356203748576533,5.529657900997321e-06,0.0036560041641895066,0.0028484,0.9527475617787137,0.9806548133259199,0.017848399999999997
526,0.913,0.015999999999999993,16.701955651370376,5.6662268721872935e-06,0.00377678885276301,0.0028484,0.9537739239910008,0.9772853748376463,0.018848399999999994
527,0.913,0.016999999999999994,17.09798512138215,5.825328144391394e-06,0.00386889284907065,0.0028484,0.953471132385366,0.9768541712556255,0.019848399999999995
528,0.913,0.017999999999999995,17.925167211302654,6.1646575638765935e-06,0.00404798851281294,0.0028484,0.9519826953447572,0.9759568875469974,0.020848399999999996
529,0.913,0.018999999999999993,18.306202333695403,6.323429216427377e-06,0.004144970784022706,0.0028484,0.9517066201456694,0.975056876911583,0.021848399999999994
530,0.913,0.01999999999999999,18.649477249703036,6.468187635887073e-06,0.004267340819757298,0.0028484,0.9520761254837007,0.9721116927171721,0.02284839999999999
531,0.913,0.02099999999999999,19.006466400432934,6.62084149827756e-06,0.00437627112274364,0.0028484,0.952010925679813,0.97074000784211,0.023848399999999992
532,0.913,0.021999999999999992,19.64457101042961,6.899856633026041e-06,0.0046428365299773225,0.0028484,0.9529691484105928,0.9647027778843534,0.024848399999999993
533,0.913,0.02299999999999999,19.931610216544467,7.027872122720588e-06,0.00479937454123027,0.0028484,0.9538608273147939,0.9602358014805049,0.02584839999999999
534,0.913,0.023999999999999987,20.207230256046852,7.1525394623814544e-06,0.004962240568742237,0.0028484,0.9547658479376947,0.9559168306082733,0.026848399999999988
535,0.913,0.024999999999999988,20.48586131013944,7.280422820602975e-06,0.005121461978428,0.0028484,0.9554593815947091,0.9527100426228062,0.02784839999999999
536,0.913,0.02599999999999999,18.690287433352246,5.941335662917026e-06,0.004913271714519628,0.0019883,0.9140958384453689,0.9549644227787578,0.027988299999999987
537,0.913,0.02699999999999999,19.309773550661294,6.205356321979953e-06,0.005203283743310185,0.0019883,0.9168296354938297,0.9504967942602078,0.028988299999999988
538,0.913,0.027999999999999983,19.618375827582877,6.33982201464898e-06,0.005351315374764654,0.0019883,0.9180061267286443,0.948552675573357,0.02998829999999998
539,0.913,0.028999999999999984,19.906869089081376,6.467332739494671e-06,0.005525043185006137,0.0019883,0.9194918052941558,0.9446317107330254,0.030988299999999983
540,0.913,0.029999999999999985,20.176267038854707,6.588004311673316e-06,0.005714171010433237,0.0019883,0.9211807428768867,0.9398868311662588,0.03198829999999998
541,0.913,0.030999999999999986,20.725264433568537,6.838663955519549e-06,0.00605442976782703,0.0019883,0.9236652113344532,0.9357340052915558,0.032988299999999984
542,0.913,0.03199999999999998,21.01421979292787,6.973550800903466e-06,0.006217749556489457,0.0019883,0.9244340741263116,0.9347584305692485,0.03398829999999998
543,0.913,0.03299999999999998,21.309875128339847,7.113632350734235e-06,0.006376705904519262,0.0019883,0.9250047088845921,0.9343429548520116,0.03498829999999998
544,0.913,0.03399999999999998,21.84855736821711,7.3733985708665275e-06,0.006748053014371404,0.0019883,0.9268456575743865,0.9299049866919942,0.03598829999999998
545,0.913,0.03499999999999998,22.1275010223494,7.510052125408214e-06,0.0069052833025557035,0.0019883,0.9272967771213304,0.9300054966878464,0.03698829999999998
546,0.913,0.035999999999999976,22.393965233034237,7.642606282148606e-06,0.0070895191595421545,0.0019883,0.9279995428874632,0.9284143721834519,0.037988299999999975
547,0.913,0.03699999999999998,22.67278101537243,7.78324789956886e-06,0.007263561025272336,0.0019883,0.9284010471634565,0.9278401064956839,0.038988299999999976
548,0.913,0.03799999999999998,23.209350265089878,8.059630031952855e-06,0.007659730939620384,0.0019883,0.929502373733261,0.9242022389091308,0.03998829999999998
549,0.913,0.03899999999999998,23.482359503452386,8.203445230004495e-06,0.007873771000933505,0.0019883,0.9299774692137809,0.9219801712218698,0.04098829999999998
550,0.913,0.03999999999999997,23.75218192008751,8.347509735955417e-06,0.008099152725351453,0.0019883,0.9304840203380538,0.9194527591963985,0.04198829999999997
551,0.913,0.040999999999999974,24.012220580817054,8.487927674370535e-06,0.008334520134642713,0.0019883,0.9310882634995713,0.9166465990697454,0.04298829999999997
552,0.913,0.041999999999999975,24.312044084101398,8.651076864578756e-06,0.00848863201098388,0.0019883,0.930747828286128,0.9186468757351772,0.04398829999999997
553,0.913,0.042999999999999976,24.812405016287624,8.928082672341535e-06,0.008948638731366327,0.0019883,0.9318402320215241,0.9143050026346601,0.044988299999999974
554,0.913,0.04399999999999998,25.073543553334968,9.075166231383165e-06,0.009163141728424092,0.0019883,0.9321029464465801,0.9135884344871258,0.045988299999999975
555,0.913,0.04499999999999997,25.334367640249408,9.223086370668755e-06,0.009354966268635483,0.0019883,0.9322264667501415,0.9140020647239916,0.04698829999999997
556,0.913,0.04599999999999997,28.551016114253745,1.222564316575375e-05,0.010990121603947472,0.0036086,0.9643792901044058,0.9141262080533993,0.049608599999999975
557,0.913,0.04699999999999997,31.833238239065544,1.5707087795399447e-05,0.013616060292878557,0.0060919,0.9753154370681596,0.9144956434994026,0.05309189999999997
558,0.913,0.047999999999999966,32.04785320963678,1.5888944179449846e-05,0.01386584449020395,0.0060919,0.9750184909017391,0.9143707242743352,0.054091899999999964
559,0.913,0.04899999999999997,32.47347809187128,1.6255002088896228e-05,0.014394812824250494,0.0060919,0.9744646104460997,0.9133327399883295,0.055091899999999965
560,0.914,0.01,13.379586345528399,4.394074368307124e-06,0.0033386169143680374,0.0028484,0.9688432182344582,0.9787760118647355,0.0128484
561,0.914,0.011,14.031818883476717,4.636762944573607e-06,0.003298267841772142,0.0028484,0.9609279096296571,0.9817069032379813,0.0138484
562,0.914,0.011999999999999999,14.379112320461317,4.767438155065803e-06,0.003451648393704613,0.0028484,0.9626301123274507,0.9766359141457521,0.014848399999999998
563,0.914,0.012999999999999998,15.022082581895585,5.012110393756075e-06,0.0034189981506227464,0.0028484,0.955492053297844,0.9797517170062728,0.0158484
564,0.914,0.013999999999999997,15.87406390865404,5.341693519598116e-06,0.0036228176760949335,0.0028484,0.9551778894357867,0.9782165256530232,0.016848399999999996
565,0.914,0.014999999999999996,16.356203748576533,5.529657900997321e-06,0.0036560041641895066,0.0028484,0.9527475617787137,0.9806548133259199,0.017848399999999997
566,0.914,0.015999999999999993,16.701955651370376,5.6662268721872935e-06,0.00377678885276301,0.0028484,0.9537739239910008,0.9772853748376463,0.018848399999999994
567,0.914,0.016999999999999994,17.09798512138215,5.825328144391394e-06,0.00386889284907065,0.0028484,0.953471132385366,0.9768541712556255,0.019848399999999995
568,0.914,0.017999999999999995,17.925167211302654,6.1646575638765935e-06,0.00404798851281294,0.0028484,0.9519826953447572,0.9759568875469974,0.020848399999999996
569,0.914,0.018999999999999993,18.306202333695403,6.323429216427377e-06,0.004144970784022706,0.0028484,0.9517066201456694,0.975056876911583,0.021848399999999994
570,0.914,0.01999999999999999,18.649477249703036,6.468187635887073e-06,0.004267340819757298,0.0028484,0.9520761254837007,0.9721116927171721,0.02284839999999999
571,0.914,0.02099999999999999,19.006466400432934,6.62084149827756e-06,0.00437627112274364,0.0028484,0.952010925679813,0.97074000784211,0.023848399999999992
572,0.914,0.021999999999999992,19.64457101042961,6.899856633026041e-06,0.0046428365299773225,0.0028484,0.9529691484105928,0.9647027778843534,0.024848399999999993
573,0.914,0.02299999999999999,19.931610216544467,7.027872122720588e-06,0.00479937454123027,0.0028484,0.9538608273147939,0.9602358014805049,0.02584839999999999
574,0.914,0.023999999999999987,20.207230256046852,7.1525394623814544e-06,0.004962240568742237,0.0028484,0.9547658479376947,0.9559168306082733,0.026848399999999988
575,0.914,0.024999999999999988,20.48586131013944,7.280422820602975e-06,0.005121461978428,0.0028484,0.9554593815947091,0.9527100426228062,0.02784839999999999
576,0.914,0.02599999999999999,18.690287433352246,5.941335662917026e-06,0.004913271714519628,0.0019883,0.9140958384453689,0.9549644227787578,0.027988299999999987
577,0.914,0.02699999999999999,19.309773550661294,6.205356321979953e-06,0.005203283743310185,0.0019883,0.9168296354938297,0.9504967942602078,0.028988299999999988
578,0.914,0.027999999999999983,19.618375827582877,6.33982201464898e-06,0.005351315374764654,0.0019883,0.9180061267286443,0.948552675573357,0.02998829999999998
579,0.914,0.028999999999999984,19.906869089081376,6.467332739494671e-06,0.005525043185006137,0.0019883,0.9194918052941558,0.9446317107330254,0.030988299999999983
580,0.914,0.029999999999999985,20.176267038854707,6.588004311673316e-06,0.005714171010433237,0.0019883,0.9211807428768867,0.9398868311662588,0.03198829999999998
581,0.914,0.030999999999999986,20.725264433568537,6.838663955519549e-06,0.00605442976782703,0.0019883,0.9236652113344532,0.9357340052915558,0.032988299999999984
582,0.914,0.03199999999999998,21.01421979292787,6.973550800903466e-06,0.006217749556489457,0.0019883,0.9244340741263116,0.9347584305692485,0.03398829999999998
583,0.914,0.03299999999999998,21.309875128339847,7.113632350734235e-06,0.006376705904519262,0.0019883,0.9250047088845921,0.9343429548520116,0.03498829999999998
584,0.914,0.03399999999999998,21.84855736821711,7.3733985708665275e-06,0.006748053014371404,0.0019883,0.9268456575743865,0.9299049866919942,0.03598829999999998
585,0.914,0.03499999999999998,22.1275010223494,7.510052125408214e-06,0.0069052833025557035,0.0019883,0.9272967771213304,0.9300054966878464,0.03698829999999998
586,0.914,0.035999999999999976,22.393965233034237,7.642606282148606e-06,0.0070895191595421545,0.0019883,0.9279995428874632,0.9284143721834519,0.037988299999999975
587,0.914,0.03699999999999998,22.67278101537243,7.78324789956886e-06,0.007263561025272336,0.0019883,0.9284010471634565,0.9278401064956839,0.038988299999999976
588,0.914,0.03799999999999998,23.209350265089878,8.059630031952855e-06,0.007659730939620384,0.0019883,0.929502373733261,0.9242022389091308,0.03998829999999998
589,0.914,0.03899999999999998,23.482359503452386,8.203445230004495e-06,0.007873771000933505,0.0019883,0.9299774692137809,0.9219801712218698,0.04098829999999998
590,0.914,0.03999999999999997,23.75218192008751,8.347509735955417e-06,0.008099152725351453,0.0019883,0.9304840203380538,0.9194527591963985,0.04198829999999997
591,0.914,0.040999999999999974,24.012220580817054,8.487927674370535e-06,0.008334520134642713,0.0019883,0.9310882634995713,0.9166465990697454,0.04298829999999997
592,0.914,0.041999999999999975,24.312044084101398,8.651076864578756e-06,0.00848863201098388,0.0019883,0.930747828286128,0.9186468757351772,0.04398829999999997
593,0.914,0.042999999999999976,24.812405016287624,8.928082672341535e-06,0.008948638731366327,0.0019883,0.9318402320215241,0.9143050026346601,0.044988299999999974
594,0.914,0.04399999999999998,27.867725823657906,1.1763006990190034e-05,0.010307001602164788,0.0036086,0.9648589726736435,0.9161708338955222,0.04760859999999997
595,0.914,0.04499999999999997,25.334367640249408,9.223086370668755e-06,0.009354966268635483,0.0019883,0.9322264667501415,0.9140020647239916,0.04698829999999997
596,0.914,0.04599999999999997,28.551016114253745,1.222564316575375e-05,0.010990121603947472,0.0036086,0.9643792901044058,0.9141262080533993,0.049608599999999975
597,0.914,0.04699999999999997,31.833238239065544,1.5707087795399447e-05,0.013616060292878557,0.0060919,0.9753154370681596,0.9144956434994026,0.05309189999999997
598,0.914,0.047999999999999966,32.04785320963678,1.5888944179449846e-05,0.01386584449020395,0.0060919,0.9750184909017391,0.9143707242743352,0.054091899999999964
599,0.914,0.04899999999999997,34.35388371975955,1.8670412553339973e-05,0.01599767085192954,0.0079662,0.9802203707571449,0.9146580737963267,0.05696619999999997
600,0.915,0.01,13.379586345528399,4.394074368307124e-06,0.0033386169143680374,0.0028484,0.9688432182344582,0.9787760118647355,0.0128484
601,0.915,0.011,14.031818883476717,4.636762944573607e-06,0.003298267841772142,0.0028484,0.9609279096296571,0.9817069032379813,0.0138484
602,0.915,0.011999999999999999,14.379112320461317,4.767438155065803e-06,0.003451648393704613,0.0028484,0.9626301123274507,0.9766359141457521,0.014848399999999998
603,0.915,0.012999999999999998,15.022082581895585,5.012110393756075e-06,0.0034189981506227464,0.0028484,0.955492053297844,0.9797517170062728,0.0158484
604,0.915,0.013999999999999997,15.87406390865404,5.341693519598116e-06,0.0036228176760949335,0.0028484,0.9551778894357867,0.9782165256530232,0.016848399999999996
605,0.915,0.014999999999999996,16.356203748576533,5.529657900997321e-06,0.0036560041641895066,0.0028484,0.9527475617787137,0.9806548133259199,0.017848399999999997
606,0.915,0.015999999999999993,16.701955651370376,5.6662268721872935e-06,0.00377678885276301,0.0028484,0.9537739239910008,0.9772853748376463,0.018848399999999994
607,0.915,0.016999999999999994,17.09798512138215,5.825328144391394e-06,0.00386889284907065,0.0028484,0.953471132385366,0.9768541712556255,0.019848399999999995
608,0.915,0.017999999999999995,17.925167211302654,6.1646575638765935e-06,0.00404798851281294,0.0028484,0.9519826953447572,0.9759568875469974,0.020848399999999996
609,0.915,0.018999999999999993,18.306202333695403,6.323429216427377e-06,0.004144970784022706,0.0028484,0.9517066201456694,0.975056876911583,0.021848399999999994
610,0.915,0.01999999999999999,18.649477249703036,6.468187635887073e-06,0.004267340819757298,0.0028484,0.9520761254837007,0.9721116927171721,0.02284839999999999
611,0.915,0.02099999999999999,19.006466400432934,6.62084149827756e-06,0.00437627112274364,0.0028484,0.952010925679813,0.97074000784211,0.023848399999999992
612,0.915,0.021999999999999992,19.64457101042961,6.899856633026041e-06,0.0046428365299773225,0.0028484,0.9529691484105928,0.9647027778843534,0.024848399999999993
613,0.915,0.02299999999999999,19.931610216544467,7.027872122720588e-06,0.00479937454123027,0.0028484,0.9538608273147939,0.9602358014805049,0.02584839999999999
614,0.915,0.023999999999999987,20.207230256046852,7.1525394623814544e-06,0.004962240568742237,0.0028484,0.9547658479376947,0.9559168306082733,0.026848399999999988
615,0.915,0.024999999999999988,20.48586131013944,7.280422820602975e-06,0.005121461978428,0.0028484,0.9554593815947091,0.9527100426228062,0.02784839999999999
616,0.915,0.02599999999999999,21.07339821742293,7.555600586705634e-06,0.0054103461818444136,0.0028484,0.9559264940172283,0.949937856925359,0.02884839999999999
617,0.915,0.02699999999999999,19.309773550661294,6.205356321979953e-06,0.005203283743310185,0.0019883,0.9168296354938297,0.9504967942602078,0.028988299999999988
618,0.915,0.027999999999999983,19.618375827582877,6.33982201464898e-06,0.005351315374764654,0.0019883,0.9180061267286443,0.948552675573357,0.02998829999999998
619,0.915,0.028999999999999984,19.906869089081376,6.467332739494671e-06,0.005525043185006137,0.0019883,0.9194918052941558,0.9446317107330254,0.030988299999999983
620,0.915,0.029999999999999985,20.176267038854707,6.588004311673316e-06,0.005714171010433237,0.0019883,0.9211807428768867,0.9398868311662588,0.03198829999999998
